Product,Name,Rating,CommentHead,Comment
iphone16,Aryan Kumar,5,Great product,Loved it
iphone16,Flipkart Customer,5,Mind-blowing purchase,Super and cool photo
iphone16,Amit Kumar Chaudhary,5,Super!,Satisfied
iphone16,Ravi Arya,5,Mind-blowing purchase,I love it ❤️❤️
iphone16,Disha Singh,5,Brilliant,Doing good as of now!
iphone16,Arpit Singh,5,Great product,My father's first iphone❤️Colour is awesome and so light in weight It should be available with 256gbAnyways design and camera is awesome
iphone16,Rinky Kumari,5,Terrific purchase,Awesome..Loved It.🥰🥰
iphone16,Flipkart Customer,5,Best in the market!,iOS is always amazing.
iphone16,Praveen Sharma,5,Worth every penny,Best phone
iphone16,Rohit Kumar,5,Best in the market!,Finally I got it 😃 and love it 😘
iphone16,No Name,No Rating,No Comment Heading,Finally I got it 😃 and love it 😘
