Product_Name,stars_Scrap,Ratings,Reviews,CurrentPrice,MRP_NOW,Processor,RAM,Storage,Storage_SSD,imageURL
HP Core i3 11th Gen,4.4,0,0,41490,49590,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kyt0ya80/computer/s/z/b/-original-imagayc6ahrmg8y7.jpeg?q=70
Lenovo IdeaPad 3 Core i5 10th Gen,4.2,0,0,47990,64290,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows 10 Operating System,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,4.4,0,0,48490,68990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.4,0,0,48490,57505,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kyrlifk0/computer/o/1/g/14s-fq1092au-thin-and-light-laptop-hp-original-imagaxgtdcyhzzjw.jpeg?q=70
HP Core i3 11th Gen,4.2,0,0,41990,51506,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kzrbiq80/computer/v/d/d/15s-fq2626tu-thin-and-light-laptop-hp-original-imagbpb2sztfprgz.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.5,0,0,47990,60959,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kzrbiq80/computer/q/w/v/15s-eq2144au-thin-and-light-laptop-hp-original-imagbpb2qzqx6knt.jpeg?q=70
RedmiBook Pro Core i5 11th Gen,4.2,0,0,49990,59990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 10 Operating System,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,4.5,0,0,48990,62990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kmmcrrk0/computer/f/o/5/na-thin-and-light-laptop-asus-original-imagfhkhqrxfhetg.jpeg?q=70
HP Core i3 11th Gen,4.2,0,0,43890,51748,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kzpw2vk0/computer/i/d/h/15s-fr2508tu-laptop-hp-original-imagbz6rpvxa48zd.jpeg?q=70
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,4.5,0,0,45990,58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kmmcrrk0/computer/f/o/5/na-thin-and-light-laptop-asus-original-imagfhkhqrxfhetg.jpeg?q=70
